country;subnational1;threshold;area_ha;extent_2000_ha;extent_2010_ha;gain_2000-2012_ha;tc_loss_ha_2001;tc_loss_ha_2002;tc_loss_ha_2003;tc_loss_ha_2004;tc_loss_ha_2005;tc_loss_ha_2006;tc_loss_ha_2007;tc_loss_ha_2008;tc_loss_ha_2009;tc_loss_ha_2010;tc_loss_ha_2011;tc_loss_ha_2012;tc_loss_ha_2013;tc_loss_ha_2014;tc_loss_ha_2015;tc_loss_ha_2016;tc_loss_ha_2017;tc_loss_ha_2018;tc_loss_ha_2019;tc_loss_ha_2020;tc_loss_ha_2021;tc_loss_ha_2022;tc_loss_ha_2023;tc_loss_ha_2024
Indonesia;Kalimantan Tengah;75;15371159;12722550;12277646;619162;60004;94713;123150;153890;146941;203063;280261;191884;182309;137448;130775;205376;91114;164916;178557;438006;86645;89627;96430;78637;45112;60206;103958;94236
Indonesia;Kalimantan Timur;0;12585065;12585065;12585065;276765;46918;58138;37329;72265;67443;129641;123579;106310;212969;107812;183190;258990;155071;223932;196083;341241;144735;158998;141641;99488;78502;67187;150741;122883
Indonesia;Kalimantan Timur;10;12585065;11872406;11447341;276765;46293;57724;37103;71787;66998;128815;122547;105621;212119;107494;182474;256608;148951;214045;186450;320593;136548;150171;134011;93570;75069;62884;138553;113517
Indonesia;Kalimantan Timur;15;12585065;11820669;11377024;276765;46223;57653;37066;71711;66929;128666;122363;105488;211949;107427;182357;256340;148517;213313;185717;318747;135890;149429;133440;93034;74751;62473;137254;112576
Indonesia;Kalimantan Timur;20;12585065;11786309;11338295;276765;46118;57553;37027;71615;66833;128468;122137;105317;211770;107357;182242;256056;148121;212639;185037;317272;135325;148853;132955;92623;74507;62185;136353;111888
Indonesia;Kalimantan Timur;25;12585065;11760581;11293744;276765;46063;57492;37000;71555;66795;128369;122044;105239;211653;107312;182167;255890;147877;212210;184622;316048;134946;148420;132607;92304;74338;61952;135612;111331
Indonesia;Kalimantan Timur;30;12585065;11718039;11239771;276765;45977;57425;36975;71496;66742;128253;121912;105149;211515;107241;182064;255656;147487;211485;183872;313958;134297;147742;132059;91821;74061;61563;134307;110376
Indonesia;Kalimantan Timur;50;12585065;11466744;10910243;276765;45265;56717;36619;70745;66122;126821;120314;103894;209497;106348;180918;253618;145040;207102;179506;302148;130275;143781;128569;89100;72535;59555;127733;105598
Indonesia;Kalimantan Timur;75;12585065;10541785;10182707;276765;41736;52617;34345;66104;61733;117211;109849;95282;195202;100223;172875;238961;129106;180720;155165;247181;111110;125663;113029;76496;64478;51832;107335;89627
Indonesia;Kalimantan Utara;0;7012553;7012553;7012553;30823;27257;23722;16742;36648;24219;24338;31257;40101;51891;30095;41983;60862;32530;60766;49810;40481;35137;38012;30468;25495;20000;18284;28262;21225
